Order_ID,Order_Date,Customer_ID,Customer_Segment,Product_Category,Units_Sold,Unit_Price,Revenue,Discount(%),Festival_Season,Festival_Name,Payment_Method,Delivery_Time(days),Customer_Rating,Returned,Sales
ORD100099,2024-05-08,CUST2931,Regular,Beauty,5,4502,14181.3,37.0,No,Non-Festival,Credit Card,3,4.4,Yes,8934.219
ORD100100,2024-05-15,CUST1378,Premium,Beauty,1,2009,1346.0299999999995,33.0,No,Non-Festival,Credit Card,5,2.7,No,901.8400999999996
ORD100101,2024-03-03,CUST9142,Regular,Electronics,5,6030,22612.5,25.0,No,Non-Festival,UPI,1,4.7,No,16959.375
ORD100102,2024-05-18,CUST5331,Regular,Electronics,4,2197,8436.48,4.0,No,Non-Festival,Credit Card,2,3.0,No,8099.020799999999
ORD100103,2024-03-21,CUST1236,Regular,Beauty,3,3131,7702.26,18.0,Yes,Holi,Wallet,6,3.6,No,6315.8532000000005
ORD100104,2024-06-11,CUST7188,Regular,Home Decor,2,2330,2889.2,38.0,No,Non-Festival,UPI,6,4.8,No,1791.3039999999999
ORD100105,2024-10-15,CUST5564,Regular,Home Decor,5,4612,16833.8,27.0,No,Non-Festival,UPI,3,4.5,No,12288.673999999999
ORD100106,2024-09-17,CUST2109,Regular,Electronics,2,6713,9800.98,27.0,No,Non-Festival,Credit Card,2,4.5,No,7154.715399999999
ORD100107,2024-08-18,CUST2770,Premium,Fashion,1,2996,2516.64,16.0,Yes,Independence Day,Wallet,3,4.4,Yes,2113.9775999999997
ORD100108,2024-02-10,CUST3163,Regular,Beauty,3,7948,15260.16,36.0,No,Non-Festival,Wallet,6,3.9,No,9766.5024
ORD100109,2024-01-28,CUST7845,Regular,Groceries,5,6523,18590.550000000003,43.0,Yes,Republic Day,Credit Card,2,4.9,No,10596.613500000003
ORD100110,2024-05-14,CUST2393,New,Home Decor,2,6945,11389.8,18.0,No,Non-Festival,Wallet,4,4.6,No,9339.636
ORD100111,2024-07-19,CUST1050,Regular,Fashion,5,5402,19987.4,26.0,No,Non-Festival,COD,5,3.6,No,14790.676000000001
ORD100112,2024-11-23,CUST9555,Regular,Home Decor,1,1755,895.0500000000001,49.0,No,Non-Festival,COD,1,4.4,No,456.47550000000007
ORD100113,2024-09-24,CUST7799,New,Fashion,2,8381,14918.18,11.0,No,Non-Festival,Credit Card,1,5.0,No,13277.1802
ORD100114,2024-02-02,CUST2930,New,Beauty,2,4643,9100.28,2.0,No,Non-Festival,UPI,4,4.7,No,8918.2744
ORD100115,2024-02-17,CUST2788,Regular,Beauty,3,8722,25381.02,3.0,No,Non-Festival,UPI,7,2.5,No,24619.5894
ORD100116,2024-03-02,CUST9465,Regular,Beauty,3,4905,7946.1,46.0,No,Non-Festival,Wallet,2,4.3,No,4290.894
ORD100117,2024-08-03,CUST8952,Regular,Electronics,2,5039,5442.120000000001,46.0,No,Non-Festival,COD,5,4.7,No,2938.744800000001
ORD100118,2024-10-19,CUST7066,Regular,Fashion,3,4158,11226.6,10.0,No,Non-Festival,UPI,4,3.3,No,10103.94
ORD100119,2024-04-08,CUST4590,Premium,Groceries,2,4864,6517.759999999999,33.0,No,Non-Festival,Wallet,2,4.9,No,4366.899199999999
ORD100120,2024-06-20,CUST4136,Regular,Groceries,4,9362,31081.84,17.0,No,Non-Festival,COD,5,3.5,No,25797.9272
ORD100121,2024-12-25,CUST3856,Regular,Beauty,5,946,3121.8,34.0,Yes,Christmas/New Year,UPI,2,3.6,No,2060.388
ORD100122,2024-08-01,CUST1315,New,Groceries,4,2384,7914.879999999999,17.0,No,Non-Festival,Wallet,1,2.9,No,6569.350399999999
ORD100123,2024-02-04,CUST5390,New,Home Decor,4,8146,17921.2,45.0,No,Non-Festival,Credit Card,5,2.7,No,9856.660000000002
ORD100124,2024-08-14,CUST8553,Regular,Fashion,5,9776,46436.0,5.0,Yes,Independence Day,Credit Card,1,3.8,No,44114.2
ORD100125,2024-04-10,CUST7006,Premium,Fashion,2,5521,7398.139999999999,33.0,No,Non-Festival,UPI,1,4.0,No,4956.7537999999995
ORD100126,2024-05-10,CUST6441,Regular,Fashion,2,9410,12797.6,32.0,No,Non-Festival,Wallet,5,3.4,No,8702.367999999999
ORD100127,2024-09-13,CUST9580,New,Home Decor,3,7348,20500.92,7.0,No,Non-Festival,COD,4,4.0,No,19065.855599999995
ORD100128,2024-01-05,CUST6519,Regular,Electronics,1,2224,1312.16,41.0,No,Non-Festival,Credit Card,2,3.5,No,774.1744000000001
ORD100129,2024-08-05,CUST1769,Regular,Home Decor,2,6373,10324.26,19.0,No,Non-Festival,COD,5,4.7,No,8362.6506
ORD100130,2024-09-11,CUST3220,Regular,Fashion,5,9934,25331.7,49.0,No,Non-Festival,Wallet,6,4.9,No,12919.167000000001
ORD100131,2024-12-24,CUST5019,Regular,Fashion,1,2911,2357.9100000000003,19.0,Yes,Christmas/New Year,Credit Card,1,4.0,No,1909.9071000000004
ORD100132,2024-10-09,CUST2040,Regular,Fashion,5,7218,20932.200000000004,42.0,No,Non-Festival,UPI,2,4.6,No,12140.676000000003
ORD100133,2024-07-25,CUST7586,Premium,Groceries,5,9846,40860.9,25.0,No,Non-Festival,Credit Card,5,4.6,Yes,30645.675000000003
ORD100134,2024-01-15,CUST2743,Premium,Electronics,5,7397,27368.9,26.0,No,Non-Festival,UPI,4,4.3,No,20252.986
ORD100135,2024-12-11,CUST4189,Regular,Home Decor,1,1902,1008.06,47.0,No,Non-Festival,COD,5,3.0,No,534.2718
ORD100136,2024-02-11,CUST1338,Regular,Fashion,4,5729,21999.36,4.0,No,Non-Festival,Credit Card,5,2.9,No,21119.3856
ORD100137,2024-06-27,CUST1170,Regular,Beauty,5,7416,34855.2,6.0,No,Non-Festival,Wallet,3,4.8,No,32763.887999999995
ORD100138,2024-03-03,CUST5228,New,Electronics,3,7855,18616.35,21.0,No,Non-Festival,COD,6,3.2,Yes,14706.9165
ORD100139,2024-12-17,CUST9832,New,Beauty,2,5617,7526.779999999999,33.0,No,Non-Festival,COD,2,3.1,No,5042.9425999999985
ORD100140,2024-08-18,CUST8852,New,Electronics,2,6524,7567.840000000001,42.0,Yes,Independence Day,UPI,5,2.9,No,4389.347200000001
ORD100141,2024-08-28,CUST4318,New,Fashion,2,4073,7168.4800000000005,12.0,Yes,Raksha Bandhan,Wallet,1,3.8,No,6308.2624000000005
ORD100142,2024-02-21,CUST8404,Regular,Electronics,1,8513,5873.969999999999,31.0,No,Non-Festival,COD,1,4.2,No,4053.0392999999995
ORD100143,2024-04-05,CUST8462,Regular,Electronics,3,9868,22795.08,23.0,No,Non-Festival,Credit Card,3,4.2,No,17552.211600000002
ORD100144,2024-08-09,CUST6164,Premium,Fashion,3,465,1185.75,15.0,No,Non-Festival,UPI,1,3.2,No,1007.8874999999999
ORD100145,2024-08-18,CUST7934,New,Beauty,3,8419,21973.59,13.0,Yes,Independence Day,Wallet,5,2.7,No,19117.0233
ORD100146,2024-08-24,CUST3470,Regular,Beauty,3,5578,10375.08,38.0,No,Non-Festival,UPI,2,3.3,No,6432.5496
ORD100147,2024-05-22,CUST3986,Regular,Groceries,3,2324,6553.679999999999,6.0,No,Non-Festival,UPI,3,3.8,No,6160.459199999999
ORD100148,2024-06-19,CUST3175,New,Beauty,4,631,1438.68,43.0,No,Non-Festival,COD,6,4.0,No,820.0476000000001
ORD100149,2024-01-29,CUST3415,Regular,Beauty,3,5174,13814.58,11.0,Yes,Republic Day,Credit Card,7,3.2,No,12294.976200000001
ORD100150,2024-02-05,CUST9484,Regular,Electronics,3,3977,9664.11,19.0,No,Non-Festival,Credit Card,3,3.0,No,7827.929100000001
ORD100151,2024-01-13,CUST6994,Premium,Groceries,1,7237,4921.16,32.0,No,Non-Festival,Wallet,4,4.6,No,3346.3887999999997
ORD100152,2024-06-08,CUST2401,Regular,Fashion,1,1285,1220.75,5.0,No,Non-Festival,Wallet,4,4.6,No,1159.7124999999999
ORD100153,2024-11-22,CUST7031,Regular,Fashion,3,6395,11702.85,39.0,No,Non-Festival,Credit Card,2,3.2,No,7138.7385
ORD100154,2024-07-05,CUST3645,Premium,Home Decor,4,6459,19118.64,26.0,No,Non-Festival,UPI,2,3.9,No,14147.793599999999
ORD100155,2024-08-30,CUST4292,Premium,Groceries,3,2685,7088.4,12.0,Yes,Raksha Bandhan,UPI,7,3.6,No,6237.7919999999995
ORD100156,2024-03-26,CUST6522,New,Electronics,3,8492,24456.96,4.0,Yes,Holi,Credit Card,3,2.9,Yes,23478.6816
ORD100157,2024-10-10,CUST3478,Regular,Home Decor,3,5598,12931.38,23.0,No,Non-Festival,COD,5,4.9,No,9957.1626
ORD100158,2024-03-06,CUST2784,Regular,Home Decor,5,5278,24014.9,9.0,No,Non-Festival,UPI,5,2.5,No,21853.559
ORD100159,2024-06-18,CUST3726,Premium,Fashion,4,7402,16284.4,45.0,No,Non-Festival,Credit Card,4,3.0,No,8956.42
ORD100160,2024-02-14,CUST8766,Premium,Beauty,2,3248,4482.24,31.0,No,Non-Festival,COD,2,3.4,No,3092.7455999999997
ORD100161,2024-03-02,CUST4828,Regular,Electronics,3,6702,18497.52,8.0,No,Non-Festival,UPI,7,4.6,No,17017.7184
ORD100162,2024-05-13,CUST3330,Premium,Groceries,2,999,1038.96,48.0,No,Non-Festival,Wallet,2,4.5,Yes,540.2592000000001
ORD100163,2024-10-10,CUST6655,Regular,Home Decor,4,4022,10618.079999999998,34.0,No,Non-Festival,UPI,5,3.9,Yes,7007.932799999998
ORD100164,2024-01-28,CUST7187,Regular,Electronics,3,5811,9936.81,43.0,Yes,Republic Day,UPI,4,4.2,No,5663.9817
ORD100165,2024-04-17,CUST8039,Regular,Fashion,2,6209,11052.02,11.0,No,Non-Festival,Credit Card,5,3.4,No,9836.2978
ORD100166,2024-02-13,CUST1215,Regular,Home Decor,2,9687,17436.600000000002,10.0,No,Non-Festival,UPI,5,4.9,No,15692.940000000002
ORD100167,2024-12-05,CUST6832,Regular,Home Decor,4,5463,14203.8,35.0,No,Non-Festival,UPI,3,2.6,No,9232.47
ORD100168,2024-10-12,CUST2415,Premium,Fashion,3,8826,24624.54,7.0,No,Non-Festival,COD,2,2.8,No,22900.8222
ORD100169,2024-11-26,CUST3351,Premium,Fashion,5,5770,26253.5,9.0,No,Non-Festival,Credit Card,3,4.8,No,23890.685
ORD100170,2024-05-07,CUST9336,New,Fashion,4,9307,32388.36,13.0,No,Non-Festival,COD,3,4.9,No,28177.8732
ORD100171,2024-12-13,CUST3892,Regular,Electronics,5,4840,17182.0,29.0,No,Non-Festival,Wallet,5,3.7,No,12199.22
ORD100172,2024-08-18,CUST3978,Regular,Electronics,3,5533,16599.0,0.0,Yes,Independence Day,UPI,4,3.9,No,16599.0
ORD100173,2024-07-08,CUST7597,Regular,Electronics,2,9039,16089.42,11.0,No,Non-Festival,,5,4.8,Yes,14319.5838
ORD100174,2024-08-12,CUST2572,Regular,Beauty,4,2495,9580.8,25.0,Yes,Independence Day,Wallet,6,4.6,Yes,7185.599999999999
ORD100175,2024-10-09,CUST5877,Premium,Home Decor,4,1631,5675.88,13.0,No,Non-Festival,Credit Card,4,3.8,No,4938.0156
ORD100176,2024-04-30,CUST1161,Premium,Electronics,4,5372,13967.2,35.0,No,Non-Festival,UPI,7,3.4,No,9078.68
ORD100177,2024-04-25,CUST5620,Premium,Beauty,1,2561,2151.24,16.0,No,Non-Festival,Credit Card,2,4.6,No,1807.0415999999998
ORD100178,2024-08-20,CUST8004,Regular,Home Decor,3,7741,18346.17,21.0,Yes,Independence Day,Credit Card,6,2.7,No,14493.4743
ORD100179,2024-09-15,CUST8012,Regular,Electronics,1,923,646.0999999999999,30.0,No,Non-Festival,COD,6,3.7,No,452.2699999999999
ORD100180,2024-12-24,CUST8995,Regular,Fashion,4,1747,5241.0,25.0,Yes,Christmas/New Year,Credit Card,6,3.1,No,3930.75
ORD100181,2024-07-16,CUST3291,Regular,Groceries,4,9371,32985.92,12.0,No,Non-Festival,Credit Card,1,2.6,No,29027.6096
ORD100182,2024-05-16,CUST5600,Premium,Electronics,5,8475,41527.5,2.0,No,Non-Festival,COD,2,4.0,No,40696.95
ORD100183,2024-11-13,CUST8893,New,Groceries,1,1565,907.7000000000002,42.0,No,Non-Festival,UPI,5,2.7,No,526.4660000000001
ORD100184,2024-06-13,CUST9706,Regular,Electronics,2,8941,16093.8,10.0,No,Non-Festival,Wallet,4,2.8,No,14484.42
ORD100185,2024-08-12,CUST7209,Premium,Fashion,3,4053,11672.64,4.0,Yes,Independence Day,COD,6,2.7,No,11205.7344
ORD100186,2024-11-02,CUST7674,Premium,Groceries,2,4882,6151.32,37.0,Yes,Diwali,UPI,1,4.9,No,3875.3316
ORD100187,2024-08-21,CUST3684,Regular,Beauty,2,6160,11950.4,3.0,No,Non-Festival,UPI,6,2.6,No,11591.887999999999
ORD100188,2024-06-20,CUST7783,Premium,Fashion,3,8543,17684.01,31.0,No,Non-Festival,Wallet,4,3.2,No,12201.966899999998
ORD100189,2024-05-31,CUST3094,Regular,Groceries,4,7889,28715.960000000003,9.0,No,Non-Festival,UPI,7,4.1,No,26131.523600000004
ORD100190,2024-11-10,CUST6941,Regular,Groceries,5,5357,24374.35,9.0,Yes,Diwali,COD,4,4.6,No,22180.658499999998
ORD100191,2024-06-08,CUST8505,Premium,Fashion,4,3698,8431.44,43.0,No,Non-Festival,UPI,7,4.0,No,4805.920800000001
ORD100192,2024-04-05,CUST3508,New,Fashion,4,3185,10574.2,17.0,No,Non-Festival,Wallet,1,4.9,No,8776.586
ORD100193,2024-08-20,CUST8271,Regular,Fashion,1,1767,954.18,46.0,Yes,Independence Day,Wallet,1,3.3,Yes,515.2572
